RB010	RB020	RB030	RB050	RB050_F	RB080	RB080_F	RB081	RB081_F	RB082	RB082_F	RB090	RB090_F	RB200	RB200_F	RB211	RB211_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RB280	RB280_F	RB290	RB290_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	VRMATSOCDEP	VRLOWJOB_N	VREU2030_N	AROPE	AROPE_N
2023	ES	1981602	40818648	1	2003	1	19	1	19	1	2	1	1	1	5	1	NA	96	1981601	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1981603	40818648	1	1999	1	23	1	23	1	2	1	1	1	5	1	NA	96	1981601	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1981701	53445376	1	1953	1	69	1	69	1	2	1	1	1	3	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1981901	63293427	1	1947	1	75	1	75	1	2	1	1	1	6	1	NA	96	NA	96	1981902	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	1	0	9	1	1	1
2023	ES	1981902	63293427	1	1943	1	79	1	80	1	1	1	1	1	3	1	NA	96	NA	96	1981901	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	1	0	9	1	1	1
2023	ES	1982001	53445376	1	1954	1	68	1	68	1	2	1	1	1	3	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1982101	55403513	1	1948	1	74	1	75	1	1	1	1	1	3	1	NA	96	NA	96	1982102	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1982102	55403513	1	1949	1	73	1	73	1	2	1	1	1	3	1	NA	96	NA	96	1982101	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1982201	51114713	1	1947	1	75	1	75	1	1	1	1	1	3	1	NA	96	NA	96	1982202	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1982202	51114713	1	1948	1	74	1	74	1	2	1	1	1	3	1	NA	96	NA	96	1982201	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1982301	55584505	1	1976	1	46	1	47	1	2	1	1	1	1	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1982501	81894595	1	1941	1	81	1	81	1	2	1	1	1	3	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	1	1
2023	ES	1982601	41604292	1	1976	1	46	1	47	1	1	1	1	1	1	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1982602	41604292	1	2010	1	12	1	12	1	1	1	1	1	5	1	1982601	1	NA	96	NA	96	1	1	1	1	NA	96	25	1	0	1	0	1	0	1	0	1	42290099	1	0	0	0	0	0	0	0
2023	ES	1982801	112703116	1	1979	1	43	1	43	1	2	1	1	1	1	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1982901	53445376	1	1949	1	73	1	74	1	2	1	1	1	6	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	1	0	9	1	1	1
2023	ES	1983101	60249675	1	1983	1	39	1	39	1	1	1	1	1	1	1	NA	96	NA	96	1983102	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1983102	60249675	1	1978	1	44	1	44	1	2	1	1	1	1	1	NA	96	NA	96	1983101	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1983103	60249675	1	2014	1	8	1	8	1	2	1	1	1	5	1	1983101	1	1983102	1	NA	96	1	1	1	1	NA	96	25	1	0	1	0	1	0	1	0	1	60589644	1	0	0	0	0	0	0	0
2023	ES	1983104	60249675	1	2017	1	5	1	5	1	1	1	1	1	5	1	1983101	1	1983102	1	NA	96	1	1	1	1	25	1	NA	96	0	1	0	1	0	1	0	1	59241082	1	0	0	0	0	0	0	0
2023	ES	1983301	56546785	1	1937	1	85	1	85	1	1	1	1	1	3	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1983501	47572053	1	1967	1	55	1	55	1	2	1	1	1	2	1	NA	96	NA	96	1983503	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1983502	47572053	1	1997	1	25	1	26	1	2	1	1	1	5	1	1983503	1	1983501	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1983503	47572053	1	1968	1	54	1	54	1	1	1	1	1	1	1	NA	96	NA	96	1983501	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1983601	74493100	1	1955	1	67	1	67	1	2	1	1	1	2	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	1	1	9	1	1	1
2023	ES	1983602	74493100	1	1992	1	30	1	31	1	1	1	1	1	2	1	NA	96	1983601	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	1	1	1	1	1	1	1
2023	ES	1983701	43130262	1	1937	1	85	1	85	1	1	1	1	1	3	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1983702	43130262	1	1964	1	58	1	59	1	1	1	1	1	1	1	NA	96	NA	96	1983703	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1983703	43130262	1	1971	1	51	1	51	1	2	1	1	1	1	1	1983701	1	NA	96	1983702	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1983801	99962628	1	1990	1	32	1	32	1	1	1	1	1	1	1	NA	96	NA	96	1983802	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
