RB010	RB020	RB030	RB050	RB050_F	RB080	RB080_F	RB081	RB081_F	RB082	RB082_F	RB090	RB090_F	RB200	RB200_F	RB211	RB211_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RB280	RB280_F	RB290	RB290_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	VRMATSOCDEP	VRLOWJOB_N	VREU2020_N	RCH010	RCH010_F	RCH020	RCH020_F	RK050	RK050_F	RK060	RK060_F	RK070	RK070_F	RK080	RK080_F	AROPE	AROPE_N
2021	ES	1567201	34715826	1	1962	1	58	1	58	1	1	1	1	1	1	1	 	96	 	96	1567203	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567202	34715826	1	1990	1	30	1	30	1	1	1	1	1	1	1	1567201	1	1567203	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567203	34715826	1	1964	1	56	1	57	1	2	1	1	1	2	1	 	96	 	96	1567201	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567204	34715826	1	1995	1	25	1	26	1	1	1	1	1	1	1	1567201	1	1567203	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567301	24053968	1	1955	1	65	1	66	1	2	1	1	1	3	1	 	96	 	96	1567302	1	3	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	1	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	1	0
2021	ES	1567302	24053968	1	1949	1	71	1	72	1	1	1	1	1	3	1	 	96	 	96	1567301	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	1	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	1	0
2021	ES	1567501	16310032	1	1958	1	62	1	63	1	1	1	1	1	1	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567601	25269363	1	1964	1	56	1	57	1	1	1	1	1	1	1	 	96	 	96	1567602	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567602	25269363	1	1963	1	57	1	58	1	2	1	1	1	6	1	 	96	 	96	1567601	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567603	25269363	1	1995	1	25	1	26	1	2	1	1	1	1	1	1567601	1	1567602	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567801	24924880	1	1959	1	61	1	62	1	1	1	1	1	1	1	 	96	 	96	1567802	1	2	1	2	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567802	24924880	1	1964	1	56	1	57	1	2	1	1	1	6	1	 	96	 	96	1567801	1	2	1	2	1	 	96	 	96	 	96	 	96	 	96	 	96		96	1	1	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	1	0
2021	ES	1567901	13233326	1	2003	1	17	1	18	1	2	1	1	1	5	1	 	96	1567903	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567902	13233326	1	2005	1	15	1	16	1	1	1	1	1	5	1	 	96	1567903	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	1	1	3	1	1	1	1	1	30	1	1	1	0	0
2021	ES	1567903	13233326	1	1966	1	54	1	55	1	2	1	1	1	1	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568001	20452709	1	1981	1	39	1	39	1	2	1	1	1	1	1	 	96	 	96	1568002	1	3	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568002	20452709	1	1975	1	45	1	45	1	1	1	1	1	1	1	 	96	 	96	1568001	1	3	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568003	20452709	1	2006	1	14	1	15	1	1	1	1	1	5	1	1568002	1	1568001	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	1	1	3	1	1	1	1	1	 	96	 	96	0	0
2021	ES	1568101	23196836	1	1973	1	47	1	48	1	1	1	1	1	1	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568102	23196836	1	2003	1	17	1	18	1	2	1	1	1	5	1	1568101	1	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568401	17507889	1	1977	1	43	1	44	1	1	1	1	1	4	1	 	96	 	96	1568402	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568402	17507889	1	1979	1	41	1	42	1	2	1	1	1	1	1	 	96	 	96	1568401	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568403	17507889	1	2016	1	4	1	5	1	1	1	1	1	5	1	1568401	1	1568402	1	 	96	1	1	1	1	40	1	 	96	0	1	0	1	0	1	36	1	16716665	1	0	0	0	0	0	2	1	3	1	1	1	1	1	 	96	 	96	0	0
2021	ES	1568501	29607295	1	1950	1	70	1	71	1	1	1	1	1	3	1	 	96	 	96	1568502	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568502	29607295	1	1949	1	71	1	72	1	2	1	1	1	6	1	 	96	 	96	1568501	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568503	29607295	1	1985	1	35	1	36	1	2	1	1	1	1	1	1568501	1	1568502	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568601	43524040	1	1987	1	33	1	33	1	1	1	1	1	1	1	 	96	 	96	1568602	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568602	43524040	1	1987	1	33	1	34	1	2	1	1	1	1	1	 	96	 	96	1568601	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568701	29590720	1	1945	1	75	1	75	1	1	1	1	1	3	1	 	96	 	96	1568702	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568702	29590720	1	1945	1	75	1	75	1	2	1	1	1	3	1	 	96	 	96	1568701	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1568801	21577761	1	1977	1	43	1	44	1	1	1	1	1	4	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	1	1	0	1	1	 	96	 	96	 	96	 	96	 	96	 	96	1	1
2021	ES	1569001	41252044	1	1973	1	47	1	48	1	2	1	1	1	1	1	 	96	 	96	1569005	1	3	1	3	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1569002	41252044	1	2003	1	17	1	18	1	1	1	1	1	5	1	 	96	1569001	1	 	96	3	1	3	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1569003	41252044	1	2004	1	16	1	16	1	1	1	1	1	5	1	1569005	1	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	1	1	1	1	25	1	3	1	0	0
2021	ES	1569004	41252044	1	2013	1	7	1	8	1	2	1	1	1	5	1	1569005	1	1569001	1	 	96	1	1	1	1	 	96	30	1	0	1	0	1	0	1	0	1	43399130	1	0	0	0	0	0	2	1	3	1	1	1	1	1	 	96	 	96	0	0
2021	ES	1569005	41252044	1	1964	1	56	1	57	1	1	1	1	1	4	1	 	96	 	96	1569001	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1569101	25456869	1	1946	1	74	1	74	1	1	1	1	1	3	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1569201	14513789	1	1965	1	55	1	56	1	1	1	1	1	1	1	 	96	 	96	1569202	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1569202	14513789	1	1963	1	57	1	57	1	2	1	1	1	1	1	 	96	 	96	1569201	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1569301	26088727	1	1940	1	80	1	81	1	1	1	1	1	3	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1569401	33971214	1	1965	1	55	1	56	1	2	1	1	1	4	1	 	96	 	96	1569402	1	3	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	1	0	1	 	96	 	96	 	96	 	96	 	96	 	96	0	1
