Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Tipo de dato;Periodo;Total
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;18/8/2021;15,62
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;15/8/2021;13,47
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;11/8/2021;15,77
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;8/8/2021;13,00
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;4/8/2021;14,99
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;1/8/2021;12,47
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;28/7/2021;15,79
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;25/7/2021;13,64
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;21/7/2021;16,35
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;18/7/2021;12,56
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;14/7/2021;15,67
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;11/7/2021;13,56
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;7/7/2021;15,71
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;4/7/2021;13,12
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;30/6/2021;15,90
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;27/6/2021;14,76
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;23/6/2021;10,58
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;20/6/2021;12,87
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;16/6/2021;16,35
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;13/6/2021;13,92
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;9/6/2021;15,63
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;6/6/2021;12,70
